TDS_ppm,Li_ppm,Mg_ppm,Ca_ppm,Na_ppm,K_ppm,Cl_ppm,SO4_ppm,HCO3_ppm,B_ppm,pH,Temp_C,Source_Type,Sample_ID,Sampling_Date,Location,Mg_Recovery_%,Ca_Recovery_%,Li_Recovery_%,Energy_kWh_m3,Chemical_Cost_USD_m3,Energy_Cost_USD_m3,Treatment_Cost_USD_m3,Total_Cost_USD_m3,Li_Revenue_USD_m3,Mg_Revenue_USD_m3,Ca_Revenue_USD_m3,Salt_Revenue_USD_m3,Total_Revenue_USD_m3,Profit_USD_m3,CAPEX_USD_m3_day,ROI_%,Economic_Flag,Oil_ppm
35745.1,0.193,1312.5,450.0,10139.1,350.0,18905.6,2758.7,130.1,4.0,7.5,18.552597063951563,seawater,SE0001,2020-10-14 14:42:16.227045072,Mediterranean,85.44553251403886,60.83982972698769,25.115348018985845,3.221622867621172,3.57451,0.2577298294096937,0.0,3.8322398294096938,0.003868115209796,1.0766137096768895,0.0821337701314333,0.4356704999999999,1.598286095018119,-2.2339537343915747,3000,-27.179770435097492,Low,158.15
34792.6,0.142,1257.1,397.0,10588.4,362.8,18968.5,2500.0,118.9,4.3,7.61,25.29224740352825,seawater,SE0002,2020-04-07 11:53:59.398998330,Pacific,75.10172862238586,68.44607630917136,16.430994160254244,4.133757188065012,3.47926,0.3307005750452009,0.0,3.809960575045201,0.0018618945342633,0.9063396772915322,0.081519276884223,0.4433535,1.4330743487100186,-2.3768862263351824,3000,-28.918782420411382,Low,158.15
35971.5,0.196,1312.2,364.6,10226.7,371.7,20000.0,2512.9,100.0,4.8,7.52,29.5631016127022,seawater,SE0003,2021-08-15 06:53:29.348914856,Pacific,73.83968535121296,70.68805386400633,19.79346131033124,3.823473973537304,3.59715,0.3058779178829843,0.0,3.903027917882985,0.0030958556966262,0.9301673771314718,0.0773185933164501,0.4534005,1.4639823261445484,-2.439045591738436,3000,-29.675054699484303,Low,158.15
37000.0,0.211,1354.3,350.0,10364.2,400.0,19400.4,2516.1,105.8,4.5,7.64,27.108584665015485,seawater,SE0004,2023-03-18 09:17:43.772954912,Pacific,77.5597850113847,61.54510598940217,28.91422729967317,3.4029174598656917,3.7,0.2722333967892553,0.0,3.972233396789256,0.0048685197642643,1.0083764816728158,0.0646223612888722,0.446469,1.5243363627259523,-2.4478970340633026,3000,-29.782747247770185,Low,158.15
34648.8,0.182,1304.9,350.0,11000.0,391.1,19869.3,2732.1,114.7,4.1,7.74,24.70172844003904,seawater,SE0005,2020-07-01 19:18:43.873121868,Red_Sea,77.85004024540436,80.37418345049616,28.910871243519388,3.741755945938357,3.4648800000000004,0.2993404756750686,0.0,3.764220475675069,0.0041988992959237,0.9752305681557902,0.0843928926230209,0.4630395,1.526861860074735,-2.2373586156003338,3000,-27.22119648980406,Low,158.15
34648.8,0.226,1304.1,350.0,11000.0,353.3,18925.5,2584.7,100.0,4.5,8.05,16.49167070856292,seawater,SE0006,2022-03-12 21:40:34.056761264,Pacific,87.48202126033132,68.60193593775685,16.150055489268603,4.045415438759555,3.4648800000000004,0.3236332351007644,0.0,3.7885132351007647,0.0029126302073786,1.0952189176857416,0.0720320327346446,0.4488825,1.619046080627765,-2.169467154473,3000,-26.39518371275483,Low,158.15
37000.0,0.147,1229.8,413.4,10000.0,389.7,18932.1,2808.8,105.2,4.0,7.7,20.95137582116358,seawater,SE0007,2021-08-17 17:23:20.333889816,Atlantic,82.36886943867354,82.84081865446262,26.199757500341804,3.017829613271076,3.7,0.241426369061686,0.0,3.9414263690616864,0.003073388753335,0.9724534621025348,0.1027391832952645,0.4339814999999999,1.5122475341511346,-2.429178834910552,3000,-29.555009158078377,Low,158.15
36151.2,0.133,1233.7,425.4,10914.9,350.0,20000.0,2500.0,133.0,5.0,7.5,25.93900169021261,seawater,SE0008,2021-10-17 15:49:34.958263768,Red_Sea,78.1192291267918,63.86025269605663,21.87888105613717,3.9562005882211935,3.61512,0.3164960470576956,0.0,3.931616047057695,0.002322093162012,0.9252066525477411,0.0814984544907074,0.4637235,1.4727507002004607,-2.4588653468572343,3000,-29.91619505342968,Low,158.15
34295.8,0.117,1200.0,350.0,10905.7,400.0,18800.0,2538.6,148.5,4.4,8.14,21.06412965006502,seawater,SE0009,2021-08-12 20:23:38.363939896,Red_Sea,80.68775928571534,61.423373923432834,29.5096898670076,3.812386167409912,3.4295800000000005,0.3049908933927929,0.0,3.734570893392793,0.002755201704123,0.9295229869714408,0.0644945426196044,0.4455854999999999,1.4423582312951682,-2.292212662097625,3000,-27.88858738885444,Low,158.15
35813.8,0.215,1400.0,444.8,10000.0,370.6,19150.9,2500.0,111.6,5.0,7.55,26.01679729999384,seawater,SE0010,2023-09-07 10:37:03.706176960,Pacific,89.07930466650548,72.05790260965804,19.55227139422193,3.330429251620099,3.5813800000000007,0.2664343401296079,0.0,3.847814340129609,0.0033545832031066,1.1972258547178336,0.0961540652423277,0.4372635,1.7339980031632678,-2.113816336966341,3000,-25.71809876642381,Low,158.15
34304.9,0.19,1200.0,375.8,10909.4,378.1,19420.4,2658.7,135.1,4.2,7.78,28.408717044075708,seawater,SE0011,2020-05-04 07:22:20.233722870,Mediterranean,72.26429353219791,64.72823342064267,25.494137360311232,4.129471610964295,3.4304900000000003,0.3303577288771436,0.0,3.760847728877144,0.0038654211065703,0.83248466149092,0.0729746103584325,0.454947,1.364271692955923,-2.396576035921221,3000,-29.158341770374857,Low,158.15
34301.4,0.168,1230.7,407.3,11000.0,400.0,19466.8,2602.4,100.0,4.2,7.93,29.812514429000508,seawater,SE0012,2022-04-01 09:39:21.936560928,Persian_Gulf,74.15431043449382,83.43498188944653,25.362742592297423,3.4551914769498016,3.43014,0.2764153181559841,0.0,3.706555318155985,0.0034002307228937,0.8761124145766229,0.1019492043707147,0.4570019999999999,1.438463849670231,-2.2680914684857534,3000,-27.595112866576667,Low,158.15
35362.9,0.178,1228.2,450.0,10000.0,354.3,19292.5,2869.6,133.2,4.1,7.86,18.869103210936583,seawater,SE0013,2021-10-10 08:20:02.003338896,Mediterranean,89.2505741317311,60.25758496134348,19.948657352661524,3.415291397319847,3.53629,0.2732233117855878,0.0,3.809513311785588,0.0028335870850014,1.0523285294264844,0.0813477396978137,0.4393875,1.5758973562092995,-2.2336159555762887,3000,-27.175660792844848,Low,158.15
33000.0,0.136,1389.5,444.8,10041.2,352.1,19637.5,2500.0,103.9,4.9,8.13,30.0,seawater,SE0014,2022-08-30 12:30:03.005008336,Mediterranean,89.14649697054408,70.31549187647587,25.91260228594616,3.706827523498984,3.3000000000000003,0.2965462018799187,0.0,3.596546201879919,0.0028122429008891,1.1891429523894816,0.0938289923599693,0.4451805,1.7309646876503402,-1.8655815142295789,3000,-22.697908423126545,Low,158.15
33000.0,0.243,1270.5,386.6,11000.0,368.3,19815.7,2719.1,126.1,4.1,7.94,28.83739672277065,seawater,SE0015,2020-07-09 02:48:16.828046744,Red_Sea,73.54330842529545,83.16869428362921,15.22080666613993,4.014224517633547,3.3000000000000003,0.3211379614106838,0.0,3.621137961410684,0.0029515275038578,0.8969930242016436,0.0964590516301531,0.4622355,1.4586391033356545,-2.162498858075029,3000,-26.31040277324619,Low,158.15
34156.6,0.174,1400.0,355.4,10635.7,400.0,19840.8,2821.7,115.0,4.8,7.54,24.99142923165468,seawater,SE0016,2022-10-08 12:27:38.764607680,Red_Sea,72.90217634250597,69.61045516824421,12.445060725804575,4.393268963814382,3.41566,0.3514615171051505,0.0,3.767121517105151,0.0017280215718994,0.9798052500432802,0.0742186673003819,0.4571475,1.5128994389155617,-2.254222078189589,3000,-27.42636861797333,Low,158.15
33480.8,0.173,1232.7,350.0,10775.7,350.0,18808.5,2900.0,146.4,4.3,8.45,30.0,seawater,SE0017,2020-02-13 20:57:17.729549248,Red_Sea,78.42170268677239,62.32773201501152,18.50327489310633,3.212035864698156,3.3480800000000004,0.2569628691758525,0.0,3.6050428691758527,0.0025544511120929,0.9280361558590496,0.065444118615762,0.443763,1.4397977255869043,-2.1652451435889484,3000,-26.343815913665537,Low,158.15
35471.4,0.192,1327.9,364.0,10670.3,350.0,19229.5,2613.6,102.5,4.0,7.86,30.0,seawater,SE0018,2022-05-15 06:36:39.666110176,Atlantic,70.99436584975938,67.57237357154467,28.87261313267169,3.5947021811276008,3.54714,0.287576174490208,0.0,3.834716174490208,0.0044237462937354,0.9050248167541968,0.0737890319401267,0.448497,1.4317345949880589,-2.4029815795021494,3000,-29.236275883942813,Low,158.15
