iter	RMSE
0	19.77749141
1	18.99396674
2	18.22693204
3	17.49454379
4	16.80580568
5	16.1397447
6	15.50378487
7	14.90779297
8	14.35331718
9	13.82497538
10	13.35777212
11	12.87693013
12	12.45644404
13	12.00233002
14	11.60159694
15	11.23401164
16	10.8660331
17	10.51887989
18	10.2224026
19	9.957222778
20	9.665705604
21	9.400750866
22	9.160424129
23	8.913284371
24	8.709171443
25	8.493351093
26	8.291646859
27	8.126239548
28	7.951279946
29	7.785888668
30	7.649480586
31	7.51278762
32	7.391463154
33	7.266436277
34	7.153617672
35	7.034036765
36	6.934750985
37	6.835180011
38	6.755376089
39	6.673061156
40	6.609969351
41	6.551855599
42	6.495373833
43	6.424534721
44	6.362439963
45	6.310768181
46	6.252203427
47	6.200874853
48	6.155160944
49	6.110148627
50	6.072563784
51	6.033465138
52	5.997213469
53	5.965348798
54	5.932549526
55	5.894258076
56	5.864762938
57	5.83740808
58	5.809599887
59	5.784360301
60	5.761650949
61	5.740674444
62	5.712572455
63	5.695300097
64	5.678979528
65	5.661130856
66	5.641041969
67	5.62344186
68	5.595111239
69	5.565790215
70	5.549865924
71	5.533533813
72	5.518796181
73	5.497131138
74	5.475241461
75	5.45012198
76	5.425625044
77	5.40551927
78	5.379570459
79	5.357611604
80	5.343498295
81	5.328798956
82	5.315957847
83	5.298200514
84	5.287169134
85	5.276265415
86	5.262460139
87	5.25126832
88	5.240658354
89	5.230002399
90	5.222845317
91	5.208414223
92	5.193811659
93	5.172048509
94	5.158330625
95	5.144344535
96	5.118166836
97	5.104257444
98	5.091946405
99	5.081321318
100	5.071701241
101	5.063928894
102	5.048136424
103	5.041034742
104	5.030419103
105	5.015476689
106	5.006686834
107	4.986404234
108	4.970065358
109	4.960667377
110	4.947994827
111	4.93598907
112	4.913632591
113	4.904682852
114	4.891643924
115	4.871019465
116	4.86191683
117	4.841996563
118	4.83477056
119	4.817124736
120	4.80176121
121	4.794396007
122	4.780243446
123	4.764365185
124	4.756283887
125	4.748040464
126	4.734657421
127	4.728201977
128	4.719568345
129	4.707673298
130	4.6959427
131	4.687617494
132	4.677013463
133	4.660292656
134	4.649956785
135	4.638861064
136	4.61249507
137	4.598220525
138	4.579933692
139	4.571423973
140	4.562325717
141	4.555209679
142	4.549021218
143	4.541282263
144	4.529807063
145	4.520920233
146	4.505126291
147	4.498824504
148	4.483143665
149	4.474778062
150	4.465919707
151	4.456265427
152	4.447546995
153	4.429792793
154	4.413091878
155	4.400974973
156	4.390912589
157	4.372214221
158	4.358335892
159	4.350838374
160	4.332629397
161	4.325707673
162	4.307490449
163	4.299175551
164	4.281874106
165	4.267342493
166	4.252060596
167	4.241048824
168	4.231632524
169	4.212828219
170	4.206705722
171	4.201777042
172	4.185274296
173	4.177663214
174	4.169504807
175	4.158824262
176	4.15099188
177	4.140472026
178	4.132423877
179	4.126948738
180	4.110693356
181	4.100627945
182	4.087309622
183	4.075355639
184	4.066107928
185	4.060175705
186	4.054616904
187	4.046294326
188	4.03242913
189	4.02817899
190	4.024436516
191	4.016852531
192	4.007876722
193	3.996933398
194	3.978027005
195	3.971123945
196	3.950566743
197	3.941865553
198	3.934413952
199	3.926299672
200	3.913585811
201	3.906446598
202	3.902944588
203	3.88611459
204	3.878287378
205	3.866870507
206	3.851780842
207	3.844329902
208	3.831207729
209	3.818258403
210	3.799591825
211	3.795637293
212	3.78077913
213	3.77694752
214	3.765251344
215	3.756572406
216	3.744295272
217	3.740980614
218	3.727503461
219	3.715366716
220	3.699919963
221	3.687057811
222	3.676353449
223	3.665359091
224	3.659141846
225	3.652691773
226	3.647491482
227	3.634791928
228	3.625878146
229	3.61347734
230	3.604798379
231	3.588605873
232	3.576905523
233	3.5707391
234	3.564687377
235	3.547250185
236	3.538782336
237	3.530328283
238	3.524509072
239	3.510257574
240	3.493636166
241	3.48089822
242	3.470468011
243	3.462165881
244	3.452704874
245	3.439607912
246	3.423772391
247	3.411971469
248	3.405063298
249	3.400340079
250	3.395186527
251	3.38015904
252	3.374277103
253	3.360306752
254	3.345571426
255	3.33051528
256	3.318289812
257	3.31184201
258	3.302944831
259	3.291902621
260	3.281611502
261	3.276527241
262	3.274076442
263	3.261597258
264	3.255391726
265	3.244036029
266	3.2352636
267	3.225899395
268	3.217528181
269	3.20672902
270	3.204396396
271	3.196169979
272	3.185486542
273	3.175756729
274	3.167377936
275	3.157117413
276	3.150257526
277	3.146231584
278	3.139368432
279	3.135125873
280	3.124293148
281	3.120958786
282	3.11387549
283	3.105276113
284	3.087800825
285	3.079724951
286	3.073277065
287	3.068863304
288	3.063329048
289	3.056345297
290	3.054117117
291	3.046742872
292	3.04177131
293	3.033749753
294	3.026419262
295	3.019614308
296	3.011864004
297	3.006006199
298	2.997490076
299	2.987161704
