iter	Passed	Remaining
0	77	23074
1	98	14677
2	115	11386
3	133	9850
4	151	8945
5	170	8368
6	187	7836
7	204	7472
8	221	7160
9	236	6848
10	252	6626
11	270	6495
12	287	6352
13	304	6215
14	321	6103
15	339	6034
16	356	5934
17	372	5834
18	390	5770
19	407	5710
20	426	5671
21	444	5615
22	461	5560
23	480	5524
24	496	5466
25	512	5398
26	527	5335
27	543	5281
28	559	5231
29	578	5203
30	594	5163
31	613	5134
32	629	5093
33	645	5050
34	664	5029
35	682	5004
36	698	4966
37	716	4940
38	735	4918
39	751	4883
40	767	4848
41	783	4812
42	799	4780
43	815	4746
44	831	4712
45	849	4691
46	865	4660
47	881	4628
48	901	4615
49	919	4599
50	940	4590
51	958	4571
52	978	4559
53	996	4540
54	1015	4523
55	1034	4505
56	1049	4476
57	1067	4453
58	1084	4431
59	1100	4402
60	1119	4384
61	1136	4363
62	1152	4336
63	1169	4311
64	1184	4282
65	1200	4255
66	1217	4232
67	1231	4203
68	1247	4176
69	1264	4153
70	1281	4134
71	1296	4105
72	1313	4085
73	1330	4061
74	1347	4041
75	1364	4022
76	1383	4006
77	1403	3993
78	1419	3970
79	1436	3950
80	1452	3928
81	1472	3915
82	1487	3888
83	1503	3866
84	1519	3842
85	1536	3822
86	1551	3798
87	1568	3777
88	1583	3754
89	1602	3739
90	1619	3720
91	1634	3696
92	1651	3676
93	1667	3654
94	1684	3633
95	1699	3611
96	1714	3588
97	1730	3567
98	1747	3547
99	1762	3524
100	1780	3507
101	1796	3487
102	1813	3469
103	1830	3449
104	1845	3428
105	1862	3409
106	1888	3406
107	1907	3391
108	1931	3384
109	1948	3364
110	1963	3343
111	1978	3321
112	1992	3297
113	2008	3277
114	2025	3257
115	2040	3236
116	2057	3217
117	2073	3197
118	2088	3176
119	2105	3157
120	2120	3137
121	2134	3113
122	2149	3093
123	2165	3073
124	2181	3053
125	2197	3035
126	2214	3016
127	2230	2997
128	2247	2978
129	2267	2964
130	2282	2944
131	2299	2926
132	2315	2907
133	2332	2889
134	2348	2869
135	2366	2853
136	2382	2834
137	2399	2817
138	2415	2797
139	2432	2780
140	2450	2763
141	2466	2744
142	2482	2725
143	2498	2706
144	2513	2687
145	2531	2669
146	2546	2650
147	2561	2630
148	2577	2612
149	2595	2595
150	2611	2577
151	2625	2556
152	2642	2539
153	2659	2521
154	2674	2502
155	2691	2484
156	2710	2468
157	2726	2450
158	2741	2431
159	2757	2413
160	2773	2394
161	2789	2376
162	2804	2356
163	2819	2338
164	2836	2320
165	2852	2302
166	2867	2283
167	2883	2265
168	2900	2248
169	2916	2230
170	2934	2213
171	2949	2194
172	2966	2177
173	2984	2161
174	3000	2143
175	3017	2126
176	3034	2108
177	3049	2090
178	3064	2071
179	3080	2053
180	3100	2038
181	3116	2020
182	3131	2002
183	3147	1984
184	3163	1966
185	3180	1949
186	3196	1931
187	3212	1913
188	3229	1896
189	3246	1879
190	3263	1862
191	3280	1845
192	3298	1828
193	3314	1811
194	3330	1793
195	3349	1777
196	3369	1761
197	3386	1744
198	3402	1727
199	3418	1709
200	3434	1691
201	3448	1673
202	3463	1655
203	3480	1637
204	3496	1620
205	3512	1603
206	3528	1585
207	3543	1567
208	3560	1550
209	3578	1533
210	3595	1516
211	3611	1499
212	3630	1482
213	3645	1465
214	3661	1447
215	3678	1430
216	3694	1413
217	3709	1395
218	3725	1377
219	3741	1360
220	3756	1342
221	3773	1325
222	3788	1308
223	3804	1290
224	3820	1273
225	3835	1255
226	3851	1238
227	3867	1221
228	3884	1204
229	3901	1187
230	3918	1170
231	3935	1153
232	3953	1136
233	3973	1120
234	3992	1104
235	4008	1087
236	4025	1070
237	4043	1053
238	4062	1036
239	4079	1019
240	4094	1002
241	4110	985
242	4126	967
243	4142	950
244	4157	933
245	4174	916
246	4194	900
247	4211	883
248	4237	867
249	4263	852
250	4279	835
251	4298	818
252	4313	801
253	4332	784
254	4351	767
255	4369	751
256	4387	734
257	4405	717
258	4422	700
259	4442	683
260	4458	666
261	4476	649
262	4493	632
263	4511	615
264	4527	597
265	4547	581
266	4565	564
267	4583	547
268	4602	530
269	4620	513
270	4638	496
271	4658	479
272	4676	462
273	4693	445
274	4709	428
275	4729	411
276	4748	394
277	4766	377
278	4784	360
279	4803	343
280	4824	326
281	4842	309
282	4864	292
283	4880	274
284	4898	257
285	4919	240
286	4938	223
287	4953	206
288	4973	189
289	4992	172
290	5011	155
291	5030	137
292	5047	120
293	5064	103
294	5080	86
295	5101	68
296	5118	51
297	5135	34
298	5151	17
299	5166	0
